packed_source_key,shard_id
2195,0
2206,0
2207,2
2228,2
2232,1
2246,2
2248,0
2250,0
2252,2
2254,1
2324,1
2328,0
2330,0
2426,0
2490,0
2492,0
2494,0
2496,1
2498,1
2500,0
2502,0
2504,1
2506,2
2510,0
2514,1
2518,0
2524,0
2530,0
2532,0
2534,0
2536,0
2542,0
2544,0
2546,0
2554,2
2556,0
2558,1
2560,0
2562,0
2564,2
2588,2
2716,2
2718,0
2720,0
2722,2
2724,1
2726,1
2728,1
2730,0
2732,0
2734,0
2736,0
2738,0
2740,0
2742,0
2744,0
2746,3
2748,0
2750,0
2752,2
2754,2
2758,1
2762,0
2764,2
2774,3
2778,0
2782,0
2784,2
2786,2
2788,1
2792,0
2796,0
2804,0
2806,2
2808,2
2810,1
2812,0
2814,0
2816,1
2820,1
2822,2
2824,0
2826,1
2828,2
2830,1
2834,0
2836,2
2840,1
2842,2
2844,0
2848,1
2854,0
2856,0
2858,0
2860,0
2861,0
2866,1
2870,1
2872,1
2878,1
2880,0
2882,1
2886,0
2888,0
2896,3
2900,1
2904,0
2915,0
2958,3
2960,0
2966,1
2970,1
2974,0
2982,0
2984,1
2986,0
2988,0
2990,0
2992,2
2994,1
2996,0
2998,1
3046,0
3068,1
3070,0
3074,1
3076,0
3080,3
3082,0
3084,0
3088,0
3092,1
3094,0
3096,0
3100,2
3102,0
3104,1
3106,1
3108,1
3110,0
3112,2
3118,1
3120,3
3122,2
3124,0
3126,1
3132,1
3134,1
3142,0
3144,0
3146,0
3148,0
3152,0
3154,0
3156,0
3158,0
3160,0
3162,0
3168,0
3170,0
3172,0
3174,0
3176,0
3180,2
3182,1
3184,0
3186,0
3188,1
3190,2
3192,2
3194,0
3196,0
3198,0
3200,1
3214,0
3220,2
3222,2
3226,1
3235,1
3236,2
3238,1
3240,0
3242,0
3244,1
3246,0
3248,0
3252,1
3254,2
3256,1
3258,2
3260,1
3264,0
3266,0
3268,1
3270,0
3272,0
3274,0
3278,1
3280,0
3282,1
3284,1
3286,0
3288,1
3290,0
3292,0
3294,1
3296,0
3298,1
3302,2
3306,0
3308,0
3312,0
3320,2
3324,1
3330,2
3332,1
3334,1
3338,0
3344,1
3346,2
3350,1
3352,2
3354,0
3356,0
3358,2
3360,1
3364,1
3366,1
3370,1
3374,1
3376,1
3378,1
3380,0
3382,1
3386,2
3388,0
3392,0
3396,1
3400,0
3402,0
3404,2
3410,1
3420,0
3424,0
3426,1
3428,1
3430,0
3432,1
3434,1
3436,3
3438,2
3440,3
3444,1
3446,1
3448,0
3450,0
3452,0
3454,1
3458,0
3460,0
3468,0
3470,0
3476,0
3540,1
3542,0
3546,3
3548,3
3550,2
3552,2
3554,0
3558,0
3562,1
3564,1
3566,2
3572,0
3576,0
3578,2
3582,0
3584,1
3604,1
3606,2
3614,0
3616,1
3618,1
3620,2
3622,0
3624,0
3626,0
3630,2
3632,2
3634,0
3636,1
3638,1
3648,0
3650,0
3652,1
3658,2
3660,0
3662,2
3664,0
3666,0
3668,1
3670,2
3672,3
3680,3
3682,3
3684,3
3686,3
3688,0
3690,2
3692,3
3694,1
3700,0
3704,1
3706,3
3714,0
3716,0
3718,1
3726,0
3730,0
3735,0
3744,2
3746,2
3748,2
3754,3
3756,0
3758,1
3760,1
3764,1
3766,0
3768,1
3770,0
3774,0
3776,2
3780,1
3782,0
3784,0
3786,0
3788,0
3790,0
3800,0
3802,1
3804,0
3806,0
3808,0
3814,0
3816,1
3818,1
3822,0
3826,0
3838,2
3840,3
3842,0
3844,1
3846,0
3848,0
3852,2
3854,0
3860,0
3862,0
3866,0
3868,0
3872,1
3874,2
3876,2
3878,1
3880,3
3882,1
3884,2
3888,2
3890,0
3892,0
3894,1
3896,0
3898,0
3900,2
3902,0
3908,0
3910,0
3912,2
3914,0
3916,0
3918,2
3922,2
3926,1
3930,0
3932,0
3934,2
3936,1
3938,1
3940,0
3950,1
3952,2
3954,1
3956,2
3958,0
3960,3
3968,2
3970,0
3972,2
3974,2
3976,2
3978,1
3980,1
3982,0
3984,0
3986,1
3988,2
3990,0
3992,0
3994,1
3998,1
4000,0
4002,0
4004,2
4010,0
4012,2
4014,1
4016,1
4018,1
4022,0
4024,3
4026,0
4028,1
4030,1
4032,1
4034,2
4036,1
4038,0
4040,2
4042,1
4044,0
4046,0
4048,0
4052,0
4056,0
4066,2
4068,0
4078,0
4084,1
4086,0
4088,0
4090,2
4092,0
4096,0
4097,1
4108,1
4110,0
4112,0
4114,0
4116,1
4118,0
4122,1
4124,0
4128,0
4134,1
4138,0
4142,1
4148,2
4150,1
4160,1
4164,0
4168,1
4170,0
4172,1
4174,1
4176,1
4178,3
4182,2
4186,1
4188,3
4190,3
4194,3
4196,2
4198,1
4200,0
4204,3
4206,1
4210,0
4214,1
4216,0
4218,0
4220,0
4222,2
4224,0
4228,1
4232,0
4234,1
4236,0
4238,0
4244,1
4246,0
4248,1
4250,2
4262,3
4266,0
4268,0
4270,0
4274,1
4280,0
4282,1
4284,0
4288,2
4296,1
4298,2
4302,3
4304,3
4306,1
4308,3
4310,1
4314,1
4320,2
4322,1
4324,2
4326,0
4328,0
4330,2
4336,2
4342,1
4352,1
4358,0
4364,2
4370,1
4382,3
4386,2
4392,0
4404,2
4408,1
4414,0
4420,1
4422,2
4424,1
4478,1
4492,1
4502,0
4504,0
4506,0
4510,1
4518,1
4520,2
4524,2
4526,2
4528,1
4532,1
4534,1
4536,0
4538,1
4540,0
4548,2
4550,1
4554,0
4560,0
4564,1
4568,1
4574,3
4576,0
4578,0
4580,1
4582,0
4584,0
4586,1
4588,1
4590,1
4594,2
4600,0
4604,1
4618,0
4620,0
4624,1
4626,0
4638,3
4640,1
4642,1
4644,0
4646,0
4648,1
4660,0
4664,1
4668,1
4692,1
4710,1
4714,2
4718,0
4720,1
4724,0
4740,1
4766,1
4790,1
4856,1
4865,0
4866,1
4872,2
4876,2
4880,0
4886,3
4894,1
4906,1
4908,0
4914,2
4940,1
4972,0
4974,1
4979,1
4986,0
5002,0
5004,0
5006,0
5032,2
5034,0
5050,1
5054,2
5056,1
5078,1
5130,1
5132,2
5134,0
5148,3
5150,1
5152,1
5154,1
5174,2
5186,2
5208,0
5210,0
5218,0
5219,2
5220,1
5222,2
5224,2
5226,3
5228,1
5232,0
5234,1
5238,1
5240,2
5242,1
5246,1
5250,1
5272,1
5274,1
5278,0
5280,0
5284,1
5298,0
5304,0
5308,0
5310,0
5314,0
5322,0
5324,0
5330,1
5332,0
5334,0
5336,0
5338,1
5342,0
5350,0
5374,1
5380,1
5388,3
5396,0
5403,0
5442,1
5444,3
5456,1
5462,0
5484,0
5496,2
5498,0
5500,1
5504,2
5510,1
5512,0
5514,0
5516,0
5518,0
5520,2
5522,3
5524,2
5534,1
5536,1
5538,1
5540,0
5542,1
5556,2
5558,1
5572,1
5574,0
5576,1
5578,0
5600,1
5610,3
5660,2
5664,0
5682,0
5720,2
5764,2
5774,2
5782,2
5788,3
5790,1
5794,1
5796,0
5798,0
5799,1
5800,1
5814,0
5822,3
5824,1
5846,3
5848,0
5850,1
5852,1
5854,2
5856,1
5858,2
5918,1
5944,2
5946,3
5948,2
5952,0
5954,0
5956,0
5962,1
5964,2
5968,2
5976,3
5978,1
5980,0
5986,2
5988,2
5996,2
6002,1
6014,2
6018,1
6020,2
6022,2
6024,3
6026,2
6028,3
6032,2
6038,2
6042,0
6044,2
6046,3
6050,2
6060,3
6062,2
6066,1
6068,0
6070,0
6072,1
6074,2
6080,1
6086,2
6098,0
6100,0
6102,3
6106,1
6108,1
6110,2
6112,3
6118,2
6120,2
6122,2
6124,2
6126,1
6128,1
6144,1
6146,2
6148,2
6150,2
6152,2
6154,2
6156,1
6158,1
6160,1
6164,0
6166,1
6168,0
6170,1
6172,2
6174,2
6176,1
6178,1
6180,1
6184,2
6186,1
6202,2
6206,2
6208,3
6214,1
6218,1
6220,0
6222,1
6224,0
6228,0
6230,2
6232,0
6234,2
6242,0
6244,3
6245,0
6248,3
6250,3
6254,2
6262,0
6264,1
6266,0
6290,3
6292,2
6298,3
6318,3
6320,2
6324,3
6326,3
6328,3
6330,3
6332,3
6340,0
6344,0
6346,3
6350,0
6352,0
6354,2
6358,1
6402,3
6416,3
6431,0
6432,3
6453,1
6533,0
6582,1
6586,1
6618,1
6792,3
6836,3
6864,0
6938,2
6944,1
6956,2
6962,3
6964,1
6966,3
6968,3
6970,3
6972,3
6978,0
7009,1
7018,0
7022,2
7024,1
7026,1
7030,2
7050,1
7052,2
7054,2
7058,1
7072,1
7074,1
7075,2
7082,3
7084,3
7086,1
7094,2
7098,1
7108,3
7113,0
7115,0
7116,0
7126,0
7146,1
7148,1
7150,2
7154,2
7160,0
7162,2
7164,3
7172,2
7174,2
7178,2
7182,1
7183,2
7184,3
7186,3
7188,0
7190,1
7192,2
7194,0
7196,2
7200,1
7204,1
7206,1
7208,1
7264,2
7270,1
7276,0
7280,2
7362,2
7364,1
7366,0
7398,3
7432,2
7526,1
7528,2
7532,1
7534,0
7554,0
7560,1
7564,0
7568,1
7572,2
7737,0
7740,1
7750,2
7754,1
7804,1
7866,0
7960,1
7962,0
7978,0
8022,0
8024,1
8048,1
8050,2
8062,0
8064,0
8068,2
8087,0
8208,1
8210,0
8214,1
8216,0
8266,0
8282,0
8294,0
8296,0
8308,3
8312,3
8314,2
8338,1
8340,1
8346,2
8348,1
8350,2
8352,0
8382,1
8384,0
8386,1
8404,1
8406,1
8452,2
8464,0
8466,0
8468,0
8470,1
8482,1
8488,0
8494,0
8496,0
8502,1
8504,3
8506,3
8508,1
8512,0
8514,0
8516,0
8532,3
8562,2
8566,0
8576,3
8578,1
8580,1
8582,0
8592,2
8614,2
8654,0
8674,3
8678,3
8681,0
8694,0
8696,0
8698,0
8702,2
8736,3
8738,2
8750,2
8758,0
8760,1
8819,2
8826,0
8830,0
8842,0
8870,1
8874,1
8882,0
8884,0
8914,3
8920,2
8922,3
8928,0
8948,1
8950,2
8951,1
8952,0
8954,1
8956,0
8958,2
8960,1
8962,1
8964,2
8968,1
