remap_index,tmdb_id,type,packed_value,frequency
348,49018,movie,98036,64
349,72844,tvshow,145689,64
350,310131,movie,620262,64
351,426563,movie,853126,64
352,633515,movie,1267030,64
353,882598,movie,1765196,64
354,440,movie,880,63
355,598,movie,1196,63
356,1457,tvshow,2915,63
357,8976,movie,17952,63
358,10511,movie,21022,63
359,11400,movie,22800,63
360,13549,movie,27098,63
361,20126,movie,40252,63
362,20391,movie,40782,63
363,29343,movie,58686,63
364,31798,movie,63596,63
365,41630,movie,83260,63
366,43715,movie,87430,63
367,52109,movie,104218,63
368,209451,movie,418902,63
369,271718,movie,543436,63
370,297,movie,594,62
371,1970,movie,3940,62
372,9731,movie,19462,62
373,10973,movie,21946,62
374,11772,movie,23544,62
375,12133,movie,24266,62
376,60243,movie,120486,62
377,324786,movie,649572,62
378,1422,movie,2844,61
379,3432,movie,6864,61
380,9077,movie,18154,61
381,11457,movie,22914,61
382,11812,movie,23624,61
383,16869,movie,33738,61
384,33641,movie,67282,61
385,59436,movie,118872,61
386,346910,movie,693820,61
387,507089,movie,1014178,61
388,523607,movie,1047214,61
389,573,movie,1146,60
390,712,movie,1424,60
391,2671,movie,5342,60
392,2755,movie,5510,60
393,6977,movie,13954,60
394,10229,movie,20458,60
395,11167,movie,22334,60
396,11357,movie,22714,60
397,11632,movie,23264,60
398,15422,movie,30844,60
399,16121,movie,32242,60
400,16337,movie,32674,60
401,16538,movie,33076,60
402,75900,movie,151800,60
403,395992,movie,791984,60
404,530915,movie,1061830,60
405,1078605,movie,2157210,60
406,1214509,movie,2429018,60
407,185,movie,370,59
408,245,movie,490,59
409,391,movie,782,59
410,616,movie,1232,59
411,642,movie,1284,59
412,1365,movie,2730,59
413,3309,movie,6618,59
414,4518,movie,9036,59
415,6537,movie,13074,59
416,6963,movie,13926,59
417,8461,movie,16922,59
418,9885,movie,19770,59
419,9902,movie,19804,59
420,16764,movie,33528,59
421,20325,movie,40650,59
422,20662,movie,41324,59
423,24684,movie,49368,59
424,25103,movie,50206,59
425,65057,movie,130114,59
426,83851,tvshow,167703,59
427,259693,movie,519386,59
428,306819,movie,613638,59
429,429476,movie,858952,59
430,485774,movie,971548,59
431,615656,movie,1231312,59
432,22,movie,44,58
433,470,movie,940,58
434,613,movie,1226,58
435,1903,movie,3806,58
436,1949,movie,3898,58
437,2282,movie,4564,58
438,2655,movie,5310,58
439,4512,movie,9024,58
440,10053,movie,20106,58
441,11281,movie,22562,58
442,11811,movie,23622,58
443,14168,movie,28336,58
444,16072,movie,32144,58
445,19204,movie,38408,58
446,25037,movie,50074,58
447,29959,movie,59918,58
448,35073,movie,70146,58
449,49046,movie,98092,58
450,68924,movie,137848,58
451,86837,movie,173674,58
452,291272,movie,582544,58
453,346685,movie,693370,58
454,504608,movie,1009216,58
455,98,movie,196,57
456,153,movie,306,57
457,492,movie,984,57
458,527,movie,1054,57
459,1587,movie,3174,57
460,4379,movie,8758,57
461,8193,movie,16386,57
462,8818,movie,17636,57
463,10184,movie,20368,57
464,10740,movie,21480,57
465,10987,movie,21974,57
466,25237,movie,50474,57
467,27033,movie,54066,57
468,41692,tvshow,83385,57
469,82695,movie,165390,57
470,109122,movie,218244,57
471,302688,movie,605376,57
472,417384,movie,834768,57
473,501170,movie,1002340,57
474,519141,movie,1038282,57
475,753342,movie,1506684,57
476,756999,movie,1513998,57
